Artist ID,Price,Currency,Image ID
andy-warhol,"US$30,000",USD,andy-warhol_image_1
andy-warhol,"US$12,000",USD,andy-warhol_image_2
andy-warhol,"US$2,000",USD,andy-warhol_image_3
andy-warhol,"US$2,000",USD,andy-warhol_image_4
andy-warhol,"US$3,000",USD,andy-warhol_image_5
andy-warhol,"US$1,000",USD,andy-warhol_image_6
andy-warhol,"US$9,000",USD,andy-warhol_image_7
andy-warhol,"US$6,000",USD,andy-warhol_image_8
andy-warhol,"US$5,000",USD,andy-warhol_image_9
andy-warhol,"US$5,000",USD,andy-warhol_image_10
andy-warhol,"US$5,000",USD,andy-warhol_image_11
andy-warhol,"US$5,000",USD,andy-warhol_image_12
andy-warhol,"US$15,000",USD,andy-warhol_image_13
andy-warhol,"US$35,000",USD,andy-warhol_image_14
andy-warhol,"US$40,000",USD,andy-warhol_image_15
andy-warhol,"US$35,000",USD,andy-warhol_image_16
andy-warhol,"US$150,000",USD,andy-warhol_image_17
andy-warhol,"US$60,000",USD,andy-warhol_image_18
andy-warhol,"US$100,000",USD,andy-warhol_image_19
andy-warhol,"US$80,000",USD,andy-warhol_image_20
andy-warhol,"US$25,000",USD,andy-warhol_image_21
andy-warhol,"US$20,000",USD,andy-warhol_image_22
andy-warhol,"US$120,000",USD,andy-warhol_image_23
andy-warhol,"US$15,000",USD,andy-warhol_image_24
andy-warhol,"US$40,000",USD,andy-warhol_image_25
andy-warhol,"US$40,000",USD,andy-warhol_image_26
andy-warhol,"US$600,000",USD,andy-warhol_image_27
andy-warhol,"US$100,000",USD,andy-warhol_image_28
andy-warhol,"US$60,000",USD,andy-warhol_image_29
andy-warhol,"US$7,000",USD,andy-warhol_image_30
andy-warhol,"US$150,000",USD,andy-warhol_image_31
andy-warhol,"US$40,000",USD,andy-warhol_image_32
andy-warhol,"US$200,000",USD,andy-warhol_image_33
andy-warhol,"US$40,000",USD,andy-warhol_image_34
andy-warhol,"US$200,000",USD,andy-warhol_image_35
andy-warhol,"US$20,000",USD,andy-warhol_image_36
andy-warhol,"US$80,000",USD,andy-warhol_image_37
andy-warhol,"US$7,000",USD,andy-warhol_image_38
andy-warhol,"US$800,000",USD,andy-warhol_image_39
andy-warhol,"US$2,000,000",USD,andy-warhol_image_40
andy-warhol,"US$2,000",USD,andy-warhol_image_41
andy-warhol,"US$2,000",USD,andy-warhol_image_42
andy-warhol,"US$2,000",USD,andy-warhol_image_43
andy-warhol,"US$2,000",USD,andy-warhol_image_44
andy-warhol,"US$2,794",USD,andy-warhol_image_45
andy-warhol,"US$889,000",USD,andy-warhol_image_46
andy-warhol,"US$30,000",USD,andy-warhol_image_47
andy-warhol,"US$12,000",USD,andy-warhol_image_48
andy-warhol,"US$2,000",USD,andy-warhol_image_49
andy-warhol,"US$2,000",USD,andy-warhol_image_50
andy-warhol,"US$3,000",USD,andy-warhol_image_51
andy-warhol,"US$1,000",USD,andy-warhol_image_52
andy-warhol,"US$9,000",USD,andy-warhol_image_53
andy-warhol,"US$6,000",USD,andy-warhol_image_54
andy-warhol,"US$5,000",USD,andy-warhol_image_55
andy-warhol,"US$5,000",USD,andy-warhol_image_56
andy-warhol,"US$5,000",USD,andy-warhol_image_57
andy-warhol,"US$5,000",USD,andy-warhol_image_58
andy-warhol,"US$15,000",USD,andy-warhol_image_59
andy-warhol,"US$35,000",USD,andy-warhol_image_60
andy-warhol,"US$40,000",USD,andy-warhol_image_61
andy-warhol,"US$35,000",USD,andy-warhol_image_62
andy-warhol,"US$150,000",USD,andy-warhol_image_63
andy-warhol,"US$60,000",USD,andy-warhol_image_64
andy-warhol,"US$100,000",USD,andy-warhol_image_65
andy-warhol,"US$80,000",USD,andy-warhol_image_66
andy-warhol,"US$25,000",USD,andy-warhol_image_67
andy-warhol,"US$20,000",USD,andy-warhol_image_68
andy-warhol,"US$120,000",USD,andy-warhol_image_69
andy-warhol,"US$15,000",USD,andy-warhol_image_70
andy-warhol,"US$40,000",USD,andy-warhol_image_71
andy-warhol,"US$40,000",USD,andy-warhol_image_72
andy-warhol,"US$600,000",USD,andy-warhol_image_73
andy-warhol,"US$100,000",USD,andy-warhol_image_74
andy-warhol,"US$60,000",USD,andy-warhol_image_75
andy-warhol,"US$7,000",USD,andy-warhol_image_76
andy-warhol,"US$150,000",USD,andy-warhol_image_77
andy-warhol,"US$40,000",USD,andy-warhol_image_78
andy-warhol,"US$200,000",USD,andy-warhol_image_79
andy-warhol,"US$40,000",USD,andy-warhol_image_80
andy-warhol,"US$200,000",USD,andy-warhol_image_81
andy-warhol,"US$20,000",USD,andy-warhol_image_82
andy-warhol,"US$80,000",USD,andy-warhol_image_83
andy-warhol,"US$7,000",USD,andy-warhol_image_84
andy-warhol,"US$800,000",USD,andy-warhol_image_85
andy-warhol,"US$2,000,000",USD,andy-warhol_image_86
andy-warhol,"US$2,000",USD,andy-warhol_image_87
andy-warhol,"US$2,000",USD,andy-warhol_image_88
andy-warhol,"US$2,000",USD,andy-warhol_image_89
andy-warhol,"US$2,000",USD,andy-warhol_image_90
andy-warhol,"US$2,794",USD,andy-warhol_image_91
andy-warhol,"US$889,000",USD,andy-warhol_image_92
kaws,US$800,USD,kaws_image_1
kaws,US$800,USD,kaws_image_2
kaws,US$800,USD,kaws_image_3
kaws,"US$3,000",USD,kaws_image_4
kaws,"US$1,500",USD,kaws_image_5
kaws,"US$4,000",USD,kaws_image_6
kaws,"US$5,000",USD,kaws_image_7
kaws,"US$7,000",USD,kaws_image_8
kaws,"US$7,000",USD,kaws_image_9
kaws,"US$9,000",USD,kaws_image_10
kaws,"US$15,000",USD,kaws_image_11
kaws,"US$190,500",USD,kaws_image_12
kaws,"US$12,600",USD,kaws_image_13
kaws,"US$2,250",USD,kaws_image_14
kaws,"US$1,625",USD,kaws_image_15
kaws,"US$5,000",USD,kaws_image_16
kaws,"US$2,000",USD,kaws_image_17
kaws,US$956,USD,kaws_image_18
kaws,US$800,USD,kaws_image_19
kaws,US$800,USD,kaws_image_20
kaws,US$800,USD,kaws_image_21
kaws,"US$3,000",USD,kaws_image_22
kaws,"US$1,500",USD,kaws_image_23
kaws,"US$4,000",USD,kaws_image_24
kaws,"US$5,000",USD,kaws_image_25
kaws,"US$7,000",USD,kaws_image_26
kaws,"US$7,000",USD,kaws_image_27
kaws,"US$9,000",USD,kaws_image_28
kaws,"US$15,000",USD,kaws_image_29
kaws,"US$190,500",USD,kaws_image_30
kaws,"US$12,600",USD,kaws_image_31
kaws,"US$2,250",USD,kaws_image_32
kaws,"US$1,625",USD,kaws_image_33
kaws,"US$5,000",USD,kaws_image_34
kaws,"US$2,000",USD,kaws_image_35
kaws,US$956,USD,kaws_image_36
